wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
3.0,1.0,0.0,3.0,19.0,0.0,0.0,3.0,2.0,0.75,104.0,0.5,0.0,0.0,0.666667,0.0,0.0,33.0,1.0,0.6667,false
3.0,5.0,0.0,6.0,14.0,3.0,5.0,2.0,3.0,2.0,52.0,0.0,0.0,0.96875,0.555556,1.0,1.0,16.333333,3.0,1.6667,false
10.0,1.0,0.0,15.0,39.0,19.0,4.0,12.0,8.0,0.888889,344.0,0.25,1.0,0.0,0.228571,0.0,0.0,32.6,3.0,1.1,false
24.0,3.0,0.0,17.0,118.0,72.0,2.0,15.0,17.0,0.851449,1066.0,0.916667,1.0,0.616667,0.185185,3.0,4.0,42.916667,6.0,1.7083,true
12.0,1.0,0.0,3.0,22.0,44.0,1.0,2.0,5.0,0.805195,156.0,1.0,1.0,0.0,0.261905,0.0,0.0,11.416667,4.0,1.25,false
19.0,3.0,0.0,10.0,61.0,135.0,0.0,10.0,16.0,0.888889,504.0,1.0,0.0,0.672727,0.378947,1.0,1.0,24.789474,13.0,1.9474,false
2.0,3.0,0.0,3.0,7.0,1.0,1.0,3.0,2.0,2.0,23.0,0.0,0.0,0.969697,1.0,0.0,0.0,10.5,1.0,0.5,false
3.0,2.0,0.0,4.0,6.0,0.0,1.0,3.0,3.0,0.0,30.0,1.0,0.0,0.818182,0.666667,0.0,0.0,8.666667,2.0,1.0,false
23.0,4.0,2.0,22.0,77.0,149.0,2.0,20.0,16.0,0.826705,1164.0,1.0,4.0,0.777778,0.142857,3.0,7.0,48.913043,19.0,2.3043,false
12.0,3.0,0.0,11.0,38.0,2.0,2.0,10.0,8.0,0.409091,224.0,1.0,0.0,0.731707,0.197917,2.0,3.0,17.5,4.0,1.8333,true
7.0,1.0,0.0,2.0,8.0,0.0,2.0,0.0,1.0,0.5,1082.0,0.0,0.0,0.0,0.666667,0.0,0.0,153.285714,2.0,0.8571,false
20.0,4.0,0.0,13.0,97.0,116.0,1.0,13.0,16.0,0.868421,895.0,1.0,0.0,0.7625,0.19,4.0,4.0,42.85,1.0,0.95,true
9.0,1.0,0.0,8.0,23.0,0.0,5.0,3.0,8.0,0.5,148.0,1.0,1.0,0.0,0.288889,0.0,0.0,14.888889,4.0,1.3333,false
3.0,2.0,0.0,5.0,7.0,1.0,1.0,4.0,3.0,0.5,29.0,1.0,0.0,0.818182,0.666667,0.0,0.0,8.333333,1.0,0.6667,false
30.0,1.0,0.0,31.0,65.0,303.0,29.0,4.0,26.0,0.689655,634.0,1.0,0.0,0.0,0.17734,0.0,0.0,20.033333,18.0,2.2333,true
3.0,6.0,0.0,7.0,11.0,3.0,5.0,3.0,3.0,2.0,37.0,0.0,0.0,0.969697,1.0,2.0,3.0,11.333333,2.0,1.3333,false
30.0,3.0,0.0,15.0,109.0,395.0,4.0,13.0,13.0,0.869732,929.0,0.555556,4.0,0.517241,0.211207,1.0,1.0,29.666667,8.0,1.9667,false
8.0,5.0,0.0,9.0,29.0,0.0,1.0,8.0,5.0,0.571429,187.0,1.0,0.0,0.823529,0.375,2.0,5.0,22.0,4.0,1.125,false
9.0,2.0,0.0,17.0,73.0,14.0,7.0,16.0,4.0,0.725,432.0,1.0,5.0,0.708333,0.275,1.0,1.0,46.444444,1.0,0.7778,true
23.0,3.0,0.0,15.0,88.0,201.0,0.0,15.0,19.0,0.847107,541.0,1.0,1.0,0.627119,0.144928,2.0,2.0,22.043478,13.0,2.1304,false
1.0,1.0,0.0,16.0,1.0,0.0,15.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,false
