wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
1.0,1.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,false
7.0,4.0,0.0,2.0,20.0,21.0,1.0,0.0,7.0,2.0,67.0,0.0,0.0,0.910448,0.571429,2.0,2.0,8.571429,2.0,1.0,false
7.0,1.0,0.0,6.0,33.0,19.0,3.0,0.0,5.0,0.666667,179.0,0.0,0.0,0.0,0.444444,0.0,0.0,24.428571,1.0,0.7143,true
27.0,6.0,0.0,14.0,67.0,273.0,1.0,0.0,20.0,0.730769,483.0,0.666667,0.0,0.826667,0.145062,4.0,6.0,16.666667,8.0,1.8519,false
1.0,3.0,0.0,5.0,2.0,0.0,1.0,4.0,1.0,2.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,false
5.0,1.0,0.0,8.0,9.0,8.0,4.0,4.0,3.0,0.75,29.0,1.0,1.0,0.0,0.5,0.0,0.0,4.6,2.0,0.8,false
18.0,2.0,0.0,25.0,85.0,133.0,2.0,0.0,6.0,0.781513,568.0,1.0,1.0,0.272727,0.313725,1.0,3.0,30.166667,11.0,2.0556,false
5.0,1.0,0.0,5.0,9.0,8.0,1.0,4.0,3.0,0.75,29.0,1.0,1.0,0.0,0.5,0.0,0.0,4.6,2.0,0.8,false
2.0,3.0,0.0,5.0,5.0,0.0,1.0,4.0,2.0,1.0,22.0,0.5,1.0,0.933333,0.625,0.0,0.0,9.0,1.0,0.5,false
12.0,1.0,0.0,3.0,24.0,0.0,1.0,3.0,11.0,0.30303,222.0,1.0,1.0,0.0,0.316667,0.0,0.0,17.0,2.0,1.0,false
13.0,1.0,0.0,9.0,51.0,24.0,7.0,3.0,12.0,0.65,297.0,1.0,0.0,0.0,0.346154,0.0,0.0,21.461538,4.0,1.8462,false
1.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,false
20.0,2.0,0.0,19.0,84.0,88.0,1.0,0.0,14.0,0.719298,685.0,1.0,0.0,0.672414,0.166667,1.0,3.0,33.1,5.0,1.75,false
3.0,1.0,3.0,4.0,4.0,1.0,3.0,1.0,2.0,0.0,16.0,1.0,0.0,0.0,0.666667,0.0,0.0,4.0,1.0,0.6667,false
3.0,2.0,0.0,3.0,9.0,3.0,1.0,0.0,3.0,2.0,27.0,0.0,0.0,0.777778,0.833333,1.0,1.0,8.0,1.0,0.6667,false
23.0,1.0,0.0,16.0,74.0,171.0,7.0,12.0,22.0,0.828283,610.0,1.0,2.0,0.0,0.147826,0.0,0.0,25.130435,4.0,1.8261,false
20.0,1.0,5.0,14.0,44.0,112.0,7.0,7.0,10.0,0.614035,255.0,1.0,1.0,0.0,0.177273,0.0,0.0,11.6,3.0,1.2,true
13.0,4.0,0.0,3.0,34.0,68.0,0.0,3.0,12.0,0.833333,191.0,1.0,0.0,0.835616,0.487179,0.0,0.0,13.307692,3.0,1.0769,false
8.0,2.0,0.0,12.0,29.0,26.0,3.0,0.0,6.0,0.714286,99.0,1.0,1.0,0.142857,0.238095,1.0,1.0,11.25,1.0,0.75,true
2.0,3.0,0.0,3.0,5.0,0.0,1.0,2.0,1.0,0.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,false
1.0,1.0,0.0,6.0,1.0,0.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,false
3.0,1.0,0.0,11.0,40.0,1.0,1.0,0.0,3.0,0.0,212.0,1.0,0.0,0.0,0.416667,0.0,0.0,69.333333,4.0,1.6667,false
9.0,1.0,0.0,16.0,43.0,36.0,4.0,14.0,9.0,2.0,143.0,0.0,0.0,0.0,0.181818,0.0,0.0,14.888889,3.0,1.6667,false
5.0,2.0,0.0,5.0,14.0,10.0,1.0,0.0,5.0,2.0,43.0,0.0,0.0,0.636364,0.666667,2.0,2.0,7.6,2.0,1.2,false
7.0,2.0,0.0,5.0,18.0,0.0,1.0,0.0,7.0,0.0,125.0,1.0,0.0,0.538462,0.464286,1.0,1.0,16.714286,3.0,1.8571,true
18.0,4.0,5.0,29.0,96.0,85.0,5.0,0.0,12.0,0.588235,669.0,1.0,1.0,0.861789,0.205882,3.0,7.0,36.055556,10.0,2.1111,true
35.0,4.0,0.0,11.0,78.0,439.0,2.0,10.0,35.0,0.909926,564.0,1.0,0.0,0.642105,0.371429,3.0,4.0,14.657143,3.0,1.0286,true
