wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
15.0,1.0,0.0,18.0,52.0,37.0,3.0,15.0,14.0,0.75,271.0,1.0,4.0,0.0,0.255102,0.0,0.0,16.533333,13.0,2.0667,true
3.0,3.0,0.0,2.0,8.0,3.0,1.0,1.0,3.0,1.5,60.0,0.0,0.0,1.0,0.555556,0.0,0.0,15.0,0.0,0.0,false
15.0,1.0,18.0,23.0,33.0,7.0,18.0,5.0,5.0,0.47619,229.0,1.0,0.0,0.0,0.380952,0.0,0.0,14.066667,4.0,2.3333,true
2.0,3.0,0.0,6.0,5.0,1.0,2.0,4.0,2.0,2.0,14.0,0.0,0.0,0.8,0.5,0.0,0.0,6.0,1.0,0.5,false
2.0,1.0,0.0,11.0,2.0,1.0,8.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.833333,0.0,0.0,0.0,1.0,1.0,true
4.0,2.0,0.0,8.0,29.0,4.0,0.0,8.0,3.0,0.666667,141.0,1.0,0.0,0.6,0.666667,0.0,0.0,34.0,6.0,1.75,false
4.0,2.0,0.0,7.0,19.0,4.0,1.0,7.0,1.0,0.666667,78.0,1.0,1.0,0.818182,0.444444,1.0,1.0,18.25,5.0,1.5,true
51.0,1.0,0.0,4.0,71.0,1025.0,1.0,3.0,47.0,0.86,481.0,1.0,0.0,0.0,0.236667,0.0,0.0,8.27451,3.0,1.2157,false
14.0,1.0,0.0,14.0,46.0,0.0,5.0,9.0,9.0,0.730769,544.0,1.0,0.0,0.0,0.285714,0.0,0.0,37.285714,8.0,3.2857,false
4.0,1.0,0.0,4.0,31.0,0.0,4.0,0.0,2.0,0.5,179.0,1.0,0.0,0.0,0.333333,0.0,0.0,42.75,4.0,2.0,false
2.0,2.0,2.0,16.0,30.0,1.0,2.0,14.0,1.0,2.0,373.0,0.0,0.0,0.857143,0.666667,0.0,0.0,185.5,25.0,12.5,false
17.0,1.0,0.0,23.0,77.0,34.0,4.0,19.0,15.0,0.848214,673.0,0.714286,6.0,0.0,0.242188,0.0,0.0,37.764706,30.0,3.4118,false
3.0,2.0,0.0,10.0,25.0,3.0,0.0,10.0,3.0,2.0,139.0,0.0,0.0,0.75,0.555556,0.0,0.0,45.333333,10.0,3.6667,false
10.0,1.0,0.0,33.0,10.0,45.0,30.0,5.0,10.0,2.0,10.0,0.0,0.0,0.0,0.283333,0.0,0.0,0.0,1.0,1.0,false
20.0,2.0,0.0,31.0,107.0,104.0,3.0,29.0,14.0,0.872807,844.0,0.833333,1.0,0.40625,0.185,0.0,0.0,40.6,39.0,3.5,true
15.0,2.0,0.0,12.0,73.0,67.0,0.0,12.0,11.0,0.761905,609.0,1.0,0.0,0.277778,0.276786,2.0,3.0,39.4,9.0,2.4,false
3.0,2.0,0.0,8.0,24.0,3.0,0.0,8.0,3.0,2.0,114.0,0.0,0.0,0.75,0.555556,0.0,0.0,37.0,7.0,2.6667,false
17.0,2.0,0.0,14.0,58.0,100.0,2.0,12.0,11.0,0.90625,444.0,1.0,2.0,0.464286,0.3,0.0,0.0,24.647059,12.0,2.0588,true
3.0,2.0,0.0,11.0,25.0,3.0,0.0,11.0,3.0,2.0,156.0,0.0,0.0,0.75,0.555556,0.0,0.0,51.0,12.0,4.3333,false
3.0,3.0,0.0,7.0,15.0,3.0,0.0,7.0,3.0,2.0,46.0,0.0,0.0,0.777778,0.555556,0.0,0.0,14.333333,3.0,1.3333,false
2.0,3.0,0.0,5.0,30.0,1.0,3.0,3.0,1.0,2.0,183.0,0.0,0.0,0.962963,0.666667,2.0,5.0,90.5,9.0,4.5,true
5.0,3.0,0.0,20.0,51.0,0.0,4.0,16.0,5.0,0.0,319.0,1.0,1.0,0.818182,0.666667,2.0,3.0,62.6,23.0,6.4,true
12.0,1.0,0.0,10.0,12.0,66.0,7.0,3.0,12.0,2.0,12.0,0.0,0.0,0.0,0.285714,0.0,0.0,0.0,1.0,1.0,false
10.0,2.0,7.0,14.0,35.0,0.0,7.0,7.0,10.0,0.0,176.0,1.0,0.0,0.590909,0.283333,0.0,0.0,16.5,3.0,1.5,true
8.0,2.0,0.0,21.0,64.0,0.0,1.0,21.0,4.0,0.535714,570.0,1.0,1.0,0.333333,0.404762,1.0,2.0,69.75,4.0,1.625,false
3.0,1.0,0.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,1.0,false
9.0,1.0,0.0,38.0,102.0,30.0,1.0,37.0,3.0,0.625,620.0,1.0,0.0,0.0,0.196429,0.0,0.0,67.777778,6.0,2.2222,true
11.0,3.0,0.0,18.0,71.0,1.0,3.0,16.0,9.0,0.814286,542.0,0.857143,1.0,0.6875,0.30303,1.0,3.0,47.636364,16.0,2.7273,true
3.0,1.0,0.0,5.0,8.0,1.0,0.0,5.0,2.0,0.5,21.0,1.0,0.0,0.0,0.5,0.0,0.0,5.666667,1.0,0.3333,false
12.0,1.0,0.0,12.0,37.0,2.0,5.0,7.0,8.0,0.772727,319.0,1.0,0.0,0.0,0.25974,0.0,0.0,24.75,7.0,2.5833,true
26.0,1.0,0.0,17.0,31.0,245.0,13.0,4.0,24.0,0.943333,193.0,0.666667,1.0,0.0,0.194286,0.0,0.0,5.961538,4.0,1.3462,false
4.0,1.0,0.0,7.0,16.0,4.0,1.0,6.0,2.0,0.333333,76.0,1.0,0.0,0.0,0.333333,0.0,0.0,17.75,5.0,1.5,true
3.0,3.0,0.0,13.0,28.0,3.0,0.0,13.0,3.0,2.0,142.0,0.0,0.0,0.777778,0.555556,0.0,0.0,46.333333,9.0,3.3333,false
23.0,1.0,0.0,18.0,70.0,143.0,2.0,17.0,22.0,0.878788,537.0,0.0,0.0,0.0,0.181818,0.0,0.0,21.956522,5.0,2.2174,false
5.0,1.0,0.0,14.0,67.0,0.0,1.0,13.0,2.0,0.25,695.0,1.0,0.0,0.0,0.3125,0.0,0.0,137.8,50.0,10.4,false
43.0,1.0,0.0,18.0,44.0,781.0,18.0,0.0,43.0,0.953515,274.0,1.0,0.0,0.0,0.297674,0.0,0.0,4.883721,1.0,0.9767,false
15.0,1.0,0.0,28.0,84.0,99.0,0.0,28.0,6.0,0.357143,507.0,1.0,0.0,0.0,0.314286,0.0,0.0,32.733333,19.0,2.6,true
6.0,3.0,0.0,71.0,45.0,13.0,50.0,21.0,3.0,0.9,219.0,1.0,0.0,0.870968,0.366667,2.0,5.0,35.166667,8.0,2.1667,true
3.0,3.0,0.0,7.0,15.0,3.0,0.0,7.0,3.0,2.0,46.0,0.0,0.0,0.777778,0.555556,0.0,0.0,14.333333,3.0,1.3333,false
5.0,1.0,0.0,13.0,26.0,0.0,7.0,6.0,4.0,0.5,151.0,1.0,0.0,0.0,0.583333,0.0,0.0,28.8,5.0,1.4,true
6.0,1.0,0.0,12.0,22.0,3.0,2.0,10.0,5.0,0.4,194.0,1.0,0.0,0.0,0.6,0.0,0.0,31.0,9.0,3.3333,false
16.0,3.0,0.0,34.0,52.0,60.0,24.0,12.0,16.0,0.828571,428.0,1.0,0.0,0.594595,0.25,1.0,4.0,25.3125,29.0,2.8125,true
1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,false
4.0,2.0,0.0,6.0,16.0,2.0,0.0,6.0,3.0,1.047619,97.0,1.0,0.0,0.6,0.666667,0.0,0.0,21.5,7.0,2.0,false
28.0,2.0,0.0,31.0,106.0,216.0,2.0,29.0,20.0,0.877493,828.0,0.692308,3.0,0.325,0.203571,0.0,0.0,28.107143,17.0,3.2143,true
4.0,2.0,0.0,10.0,29.0,4.0,0.0,10.0,3.0,0.666667,133.0,1.0,0.0,0.6,0.666667,0.0,0.0,32.0,6.0,1.75,false
3.0,5.0,0.0,6.0,6.0,3.0,2.0,5.0,3.0,2.0,18.0,0.0,0.0,0.99115,0.5,0.0,0.0,5.0,1.0,0.3333,false
7.0,1.0,0.0,8.0,17.0,9.0,3.0,5.0,5.0,0.5,151.0,1.0,0.0,0.0,0.566667,0.0,0.0,19.571429,5.0,1.8571,false
1.0,1.0,0.0,10.0,1.0,0.0,9.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,false
3.0,4.0,0.0,83.0,6.0,3.0,83.0,0.0,3.0,1.5,17.0,1.0,0.0,1.0,0.777778,0.0,0.0,4.333333,0.0,0.0,true
4.0,2.0,1.0,13.0,21.0,0.0,1.0,12.0,2.0,2.0,178.0,0.0,0.0,0.666667,0.5,2.0,3.0,43.5,9.0,3.25,false
6.0,1.0,0.0,10.0,13.0,15.0,0.0,10.0,6.0,2.0,35.0,0.0,0.0,0.0,0.361111,0.0,0.0,4.833333,1.0,0.8333,false
3.0,1.0,0.0,11.0,35.0,1.0,0.0,11.0,2.0,0.625,200.0,1.0,0.0,0.0,0.666667,0.0,0.0,64.333333,11.0,3.6667,false
5.0,1.0,1.0,21.0,47.0,0.0,2.0,19.0,2.0,0.25,242.0,1.0,0.0,0.0,0.5,0.0,0.0,47.0,4.0,1.6,false
8.0,3.0,0.0,3.0,42.0,8.0,0.0,3.0,3.0,0.785714,202.0,1.0,0.0,0.806452,0.357143,3.0,4.0,24.0,1.0,0.75,true
1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,false
4.0,3.0,0.0,11.0,29.0,2.0,0.0,11.0,3.0,0.666667,212.0,1.0,0.0,0.666667,0.666667,0.0,0.0,51.25,15.0,4.0,false
6.0,1.0,0.0,17.0,32.0,11.0,1.0,16.0,2.0,1.044444,242.0,0.777778,1.0,0.0,0.333333,0.0,0.0,37.833333,13.0,2.8333,true
5.0,1.0,0.0,7.0,18.0,0.0,1.0,6.0,3.0,0.5,153.0,1.0,2.0,0.0,0.5,0.0,0.0,28.8,4.0,1.6,false
5.0,1.0,0.0,22.0,66.0,4.0,2.0,20.0,4.0,0.25,493.0,1.0,0.0,0.0,0.416667,0.0,0.0,96.8,1.0,0.6,true
