wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
8.0,1.0,0.0,6.0,14.0,26.0,2.0,0.0,7.0,1.0,39.0,1.0,2.0,0.0,0.392857,0.0,0.0,3.5,1.0,0.75,false
2.0,4.0,0.0,4.0,5.0,1.0,1.0,0.0,2.0,2.0,36.0,0.0,0.0,0.97561,0.666667,1.0,1.0,17.0,1.0,0.5,false
56.0,1.0,0.0,49.0,89.0,1310.0,40.0,0.0,56.0,0.956474,583.0,1.0,24.0,0.0,0.1375,0.0,0.0,8.821429,5.0,1.1964,false
4.0,5.0,1.0,0.0,8.0,6.0,0.0,0.0,4.0,2.0,20.0,0.0,0.0,1.0,0.666667,0.0,0.0,4.0,0.0,0.0,false
3.0,2.0,0.0,3.0,8.0,3.0,3.0,0.0,3.0,1.5,73.0,0.0,0.0,0.9375,0.833333,0.0,0.0,22.0,3.0,1.0,false
16.0,1.0,2.0,38.0,91.0,58.0,23.0,0.0,13.0,0.777778,717.0,0.888889,7.0,0.0,0.28,0.0,0.0,43.25,15.0,1.9375,true
3.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,false
10.0,3.0,0.0,3.0,24.0,3.0,1.0,0.0,10.0,0.481481,114.0,1.0,0.0,0.428571,0.211111,1.0,1.0,10.1,3.0,1.0,false
3.0,2.0,0.0,2.0,7.0,3.0,2.0,0.0,3.0,1.5,30.0,0.0,0.0,0.9375,0.833333,0.0,0.0,8.666667,3.0,1.0,false
3.0,2.0,0.0,5.0,8.0,3.0,0.0,0.0,2.0,1.0,27.0,1.0,0.0,0.97619,1.0,0.0,0.0,7.666667,1.0,0.3333,false
11.0,2.0,0.0,1.0,25.0,35.0,0.0,0.0,11.0,0.65,283.0,1.0,0.0,0.411765,0.318182,0.0,0.0,24.363636,2.0,1.1818,false
4.0,2.0,0.0,12.0,22.0,2.0,1.0,0.0,4.0,0.583333,1700.0,1.0,3.0,0.5,0.5,1.0,1.0,423.0,1.0,0.5,true
6.0,5.0,0.0,1.0,7.0,15.0,1.0,0.0,6.0,2.0,14.0,0.0,0.0,0.864865,0.458333,1.0,1.0,1.333333,1.0,0.8333,false
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
6.0,3.0,0.0,8.0,33.0,3.0,1.0,0.0,1.0,0.4,177.0,1.0,0.0,0.827586,0.4,1.0,6.0,28.333333,1.0,0.8333,false
3.0,2.0,0.0,6.0,9.0,1.0,2.0,0.0,3.0,0.0,35.0,1.0,0.0,0.666667,0.555556,1.0,1.0,10.333333,1.0,0.3333,false
14.0,1.0,0.0,3.0,15.0,91.0,3.0,0.0,14.0,2.0,17.0,0.0,0.0,0.0,0.285714,0.0,0.0,0.214286,1.0,0.9286,false
2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,1.0,0.5,false
22.0,2.0,0.0,20.0,145.0,127.0,0.0,0.0,15.0,0.867347,1226.0,0.857143,1.0,0.545455,0.306122,2.0,2.0,54.090909,10.0,2.3182,false
51.0,1.0,0.0,40.0,207.0,999.0,4.0,0.0,38.0,0.907222,2594.0,1.0,9.0,0.0,0.092,0.0,0.0,49.156863,41.0,4.1373,true
1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,false
2.0,4.0,0.0,4.0,6.0,1.0,1.0,0.0,2.0,2.0,33.0,0.0,0.0,0.97561,0.666667,1.0,1.0,15.5,1.0,0.5,false
33.0,2.0,0.0,9.0,93.0,378.0,0.0,0.0,26.0,0.900862,995.0,1.0,2.0,0.392157,0.1875,0.0,0.0,28.272727,6.0,1.4848,false
6.0,1.0,0.0,4.0,12.0,3.0,3.0,0.0,6.0,0.2,40.0,1.0,0.0,0.0,0.583333,0.0,0.0,5.5,1.0,0.8333,false
8.0,1.0,0.0,2.0,31.0,12.0,1.0,0.0,8.0,0.457143,259.0,1.0,0.0,0.0,0.325,0.0,0.0,30.75,5.0,1.5,false
37.0,3.0,0.0,8.0,97.0,508.0,2.0,0.0,21.0,0.895425,981.0,1.0,3.0,0.619565,0.242063,2.0,3.0,25.054054,11.0,2.7568,false
8.0,1.0,1.0,11.0,21.0,10.0,5.0,0.0,4.0,0.734694,108.0,0.714286,2.0,0.0,0.428571,0.0,0.0,11.625,2.0,0.75,true
4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.666667,28.0,1.0,1.0,0.0,0.5,0.0,0.0,5.25,1.0,0.75,false
2.0,2.0,0.0,5.0,8.0,0.0,1.0,0.0,2.0,0.0,32.0,0.0,0.0,0.916667,0.625,0.0,0.0,14.5,1.0,0.5,false
2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,1.0,0.5,false
0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
9.0,1.0,0.0,19.0,46.0,8.0,3.0,0.0,5.0,0.4375,350.0,1.0,3.0,0.0,0.3125,0.0,0.0,37.444444,1.0,0.7778,false
2.0,5.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,2.0,11.0,0.0,0.0,0.985507,1.0,1.0,1.0,4.5,1.0,0.5,false
1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,true
7.0,1.0,0.0,9.0,36.0,0.0,1.0,0.0,5.0,0.416667,181.0,0.5,0.0,0.0,0.444444,0.0,0.0,24.571429,1.0,0.7143,false
6.0,1.0,0.0,2.0,7.0,7.0,2.0,0.0,6.0,0.7,29.0,0.0,0.0,0.0,0.75,0.0,0.0,3.5,1.0,0.8333,false
11.0,1.0,0.0,2.0,23.0,15.0,1.0,0.0,11.0,0.7,167.0,0.0,1.0,0.0,0.318182,0.0,0.0,13.727273,2.0,1.0,false
10.0,1.0,0.0,4.0,11.0,45.0,3.0,0.0,10.0,1.111111,24.0,0.0,0.0,0.0,0.34,0.0,0.0,0.3,1.0,0.9,false
42.0,2.0,0.0,26.0,98.0,683.0,10.0,0.0,41.0,0.94835,962.0,1.0,0.0,0.633028,0.252033,2.0,7.0,21.5,10.0,1.5476,false
3.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,3.0,0.0,31.0,1.0,0.0,0.894737,0.444444,0.0,0.0,9.0,2.0,1.0,false
10.0,1.0,0.0,79.0,37.0,39.0,76.0,0.0,7.0,0.592593,296.0,1.0,0.0,0.0,0.611111,0.0,0.0,28.3,5.0,1.5,false
7.0,3.0,0.0,35.0,12.0,11.0,35.0,0.0,7.0,0.166667,77.0,1.0,0.0,0.85,0.52381,1.0,2.0,9.714286,4.0,0.8571,false
4.0,1.0,0.0,2.0,9.0,0.0,1.0,0.0,2.0,0.25,91.0,0.0,1.0,0.0,0.625,0.0,0.0,20.75,5.0,2.0,false
4.0,3.0,0.0,2.0,6.0,6.0,1.0,0.0,4.0,1.0,21.0,1.0,1.0,0.833333,0.4,1.0,2.0,4.0,1.0,0.75,false
5.0,1.0,1.0,0.0,6.0,10.0,0.0,0.0,5.0,2.0,8.0,0.0,0.0,0.0,0.533333,0.0,0.0,0.6,1.0,0.8,false
30.0,1.0,0.0,14.0,71.0,135.0,2.0,0.0,22.0,0.780788,836.0,1.0,6.0,0.0,0.162069,0.0,0.0,26.4,6.0,1.6333,false
3.0,2.0,0.0,3.0,9.0,1.0,1.0,0.0,2.0,0.5,59.0,1.0,1.0,0.75,0.555556,0.0,0.0,18.333333,2.0,1.0,false
5.0,1.0,0.0,18.0,5.0,10.0,18.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,1.0,false
7.0,2.0,0.0,4.0,25.0,9.0,1.0,0.0,7.0,0.5,331.0,1.0,0.0,0.785714,0.342857,2.0,2.0,46.0,5.0,1.0,false
4.0,5.0,0.0,2.0,11.0,0.0,0.0,0.0,4.0,0.0,56.0,1.0,0.0,0.957746,0.625,2.0,2.0,12.75,1.0,0.75,false
10.0,4.0,0.0,2.0,20.0,0.0,1.0,0.0,9.0,0.388889,92.0,1.0,1.0,0.848485,0.296296,2.0,2.0,8.0,2.0,0.8,false
2.0,2.0,0.0,7.0,8.0,0.0,3.0,0.0,2.0,0.0,44.0,1.0,0.0,0.916667,0.833333,0.0,0.0,20.0,1.0,0.5,false
17.0,1.0,0.0,6.0,32.0,72.0,3.0,0.0,16.0,0.7125,378.0,1.0,0.0,0.0,0.8125,0.0,0.0,20.941176,7.0,2.2353,false
3.0,2.0,0.0,2.0,11.0,0.0,1.0,0.0,3.0,0.0,52.0,1.0,0.0,0.846154,0.5,0.0,0.0,16.0,1.0,0.6667,false
2.0,1.0,0.0,5.0,4.0,1.0,4.0,0.0,1.0,1.767442,79.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,true
2.0,3.0,5.0,7.0,3.0,1.0,5.0,0.0,2.0,2.0,8.0,0.0,0.0,0.975,0.666667,0.0,0.0,3.0,1.0,0.5,false
118.0,1.0,0.0,10.0,210.0,3267.0,1.0,0.0,104.0,0.928547,1160.0,0.92,4.0,0.0,0.130536,0.0,0.0,8.618644,3.0,1.0424,true
1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,true
2.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,false
8.0,2.0,0.0,0.0,35.0,28.0,0.0,0.0,7.0,2.0,343.0,0.0,0.0,0.5,0.525,0.0,0.0,41.875,6.0,1.75,false
16.0,2.0,1.0,6.0,42.0,34.0,5.0,0.0,13.0,0.644444,287.0,1.0,0.0,0.48,0.186667,0.0,0.0,16.75,7.0,1.8125,false
8.0,1.0,0.0,4.0,35.0,12.0,2.0,0.0,6.0,0.666667,204.0,1.0,2.0,0.0,0.285714,0.0,0.0,23.75,3.0,1.625,false
34.0,1.0,0.0,19.0,34.0,561.0,19.0,0.0,34.0,2.0,34.0,0.0,0.0,0.0,0.210084,0.0,0.0,0.0,1.0,1.0,false
4.0,1.0,0.0,4.0,4.0,6.0,2.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,1.0,false
5.0,3.0,0.0,2.0,11.0,8.0,1.0,0.0,5.0,0.75,37.0,1.0,1.0,0.833333,0.36,1.0,1.0,6.2,1.0,0.8,false
2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,false
41.0,1.0,0.0,17.0,92.0,658.0,6.0,0.0,20.0,0.84375,2453.0,1.0,2.0,0.0,0.194643,0.0,0.0,58.731707,10.0,3.7073,false
4.0,5.0,1.0,0.0,8.0,6.0,0.0,0.0,4.0,2.0,20.0,0.0,0.0,1.0,0.666667,0.0,0.0,4.0,0.0,0.0,false
4.0,2.0,0.0,8.0,13.0,4.0,1.0,0.0,2.0,1.0,36.0,1.0,1.0,0.909091,0.555556,0.0,0.0,7.5,1.0,0.5,false
9.0,1.0,0.0,1.0,10.0,36.0,0.0,0.0,9.0,2.0,12.0,0.0,0.0,0.0,0.444444,0.0,0.0,0.333333,1.0,0.8889,false
5.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,5.0,0.5,22.0,1.0,0.0,0.0,0.4,0.0,0.0,3.2,1.0,0.8,false
17.0,2.0,0.0,14.0,69.0,78.0,0.0,0.0,16.0,0.791667,348.0,0.5,2.0,0.615385,0.203125,1.0,3.0,19.117647,3.0,1.4118,false
4.0,5.0,0.0,2.0,13.0,0.0,0.0,0.0,4.0,0.0,58.0,1.0,0.0,0.957746,0.625,1.0,1.0,13.25,1.0,0.75,false
60.0,1.0,0.0,19.0,143.0,1080.0,8.0,0.0,52.0,0.825085,1833.0,1.0,4.0,0.0,0.137006,0.0,0.0,29.133333,19.0,2.1833,true
13.0,1.0,0.0,12.0,25.0,40.0,12.0,0.0,13.0,0.923611,265.0,0.083333,1.0,0.0,0.369231,0.0,0.0,18.461538,5.0,1.4615,false
42.0,1.0,0.0,19.0,96.0,569.0,14.0,0.0,31.0,0.889135,897.0,0.772727,3.0,0.0,0.134146,0.0,0.0,19.833333,9.0,1.9286,false
1.0,3.0,0.0,4.0,2.0,0.0,4.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,false
2.0,4.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,8.0,0.0,0.0,0.97561,0.666667,0.0,0.0,3.0,1.0,0.5,false
7.0,1.0,0.0,1.0,13.0,0.0,1.0,0.0,5.0,0.5,221.0,1.0,2.0,0.0,0.428571,0.0,0.0,29.857143,7.0,3.2857,false
4.0,4.0,0.0,0.0,8.0,6.0,0.0,0.0,4.0,2.0,20.0,0.0,0.0,1.0,0.666667,0.0,0.0,4.0,0.0,0.0,false
44.0,1.0,0.0,26.0,166.0,428.0,9.0,0.0,2.0,0.88062,2361.0,1.0,7.0,0.0,0.141649,0.0,0.0,52.318182,11.0,2.0909,true
6.0,1.0,0.0,2.0,22.0,0.0,0.0,0.0,5.0,0.666667,161.0,1.0,1.0,0.0,0.444444,0.0,0.0,25.333333,8.0,2.0,false
