wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
14.0,2.0,0.0,11.0,52.0,43.0,0.0,11.0,12.0,0.955128,467.0,0.166667,1.0,0.5,0.276923,2.0,3.0,31.5,12.0,2.2143,true
3.0,3.0,0.0,7.0,6.0,3.0,4.0,4.0,3.0,2.0,16.0,0.0,0.0,0.972222,0.533333,1.0,1.0,4.333333,1.0,0.3333,false
25.0,1.0,0.0,7.0,78.0,194.0,2.0,5.0,17.0,0.878788,530.0,0.727273,3.0,0.0,0.261905,0.0,0.0,19.76,3.0,1.04,false
18.0,3.0,0.0,10.0,62.0,149.0,0.0,10.0,6.0,1.019608,417.0,0.444444,1.0,0.6,0.338235,1.0,2.0,21.666667,5.0,1.1111,false
16.0,2.0,0.0,3.0,24.0,106.0,1.0,2.0,11.0,0.333333,151.0,1.0,1.0,0.605263,0.5,1.0,6.0,8.25,2.0,1.0625,false
11.0,2.0,0.0,7.0,39.0,7.0,1.0,6.0,9.0,0.666667,245.0,0.0,1.0,0.72973,0.333333,0.0,0.0,21.0,5.0,1.9091,true
8.0,2.0,0.0,14.0,43.0,8.0,4.0,12.0,8.0,0.628571,376.0,1.0,1.0,0.833333,0.265625,1.0,2.0,45.375,5.0,1.875,false
3.0,2.0,0.0,5.0,6.0,3.0,4.0,3.0,3.0,2.0,17.0,0.0,0.0,0.967742,0.533333,0.0,0.0,4.666667,1.0,0.3333,false
4.0,1.0,0.0,4.0,17.0,0.0,1.0,3.0,4.0,0.333333,120.0,0.75,1.0,0.0,0.583333,0.0,0.0,28.0,4.0,1.5,false
3.0,2.0,0.0,2.0,6.0,3.0,0.0,2.0,1.0,2.0,12.0,0.0,0.0,0.714286,0.666667,1.0,2.0,3.0,1.0,0.6667,false
8.0,2.0,0.0,18.0,41.0,0.0,5.0,15.0,8.0,0.642857,218.0,1.0,1.0,0.833333,0.28125,1.0,1.0,25.75,1.0,0.75,true
