wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
12.0,1.0,0.0,35.0,75.0,14.0,16.0,21.0,7.0,0.965787,4202.0,0.55914,19.0,0.0,0.20979,0.0,0.0,341.416667,31.0,6.6667,true
3.0,4.0,0.0,6.0,12.0,3.0,2.0,4.0,2.0,2.0,68.0,0.0,0.0,0.985714,0.428571,1.0,7.0,21.666667,1.0,0.3333,true
5.0,4.0,0.0,2.0,11.0,10.0,0.0,2.0,5.0,2.0,30.0,0.0,0.0,0.959184,0.45,0.0,0.0,5.0,1.0,0.8,true
6.0,1.0,0.0,2.0,6.0,15.0,1.0,1.0,6.0,2.0,6.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,true
2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,false
5.0,1.0,0.0,0.0,5.0,10.0,0.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,1.0,false
15.0,1.0,2.0,26.0,41.0,37.0,7.0,19.0,12.0,0.825397,870.0,1.0,4.0,0.0,0.181818,0.0,0.0,55.8,11.0,2.4,true
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,false
5.0,4.0,0.0,2.0,8.0,10.0,0.0,2.0,5.0,2.0,28.0,0.0,0.0,0.959184,0.6,0.0,0.0,4.6,1.0,0.8,true
9.0,1.0,0.0,4.0,15.0,0.0,2.0,2.0,8.0,0.1875,243.0,1.0,1.0,0.0,0.422222,0.0,0.0,25.777778,6.0,2.1111,true
6.0,1.0,0.0,2.0,19.0,13.0,1.0,2.0,5.0,0.8,127.0,0.0,1.0,0.0,0.533333,0.0,0.0,20.0,11.0,3.0,true
2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,true
5.0,4.0,0.0,3.0,8.0,10.0,0.0,3.0,5.0,2.0,28.0,0.0,0.0,0.953488,0.6,1.0,4.0,4.6,1.0,0.8,true
3.0,4.0,0.0,2.0,7.0,3.0,1.0,2.0,3.0,2.0,19.0,0.0,0.0,0.979167,0.666667,0.0,0.0,5.333333,1.0,0.6667,true
7.0,1.0,0.0,0.0,7.0,21.0,0.0,0.0,7.0,2.0,7.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,1.0,1.0,false
7.0,1.0,0.0,0.0,7.0,21.0,0.0,0.0,7.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,false
14.0,4.0,1.0,4.0,19.0,79.0,3.0,2.0,14.0,0.945055,133.0,0.857143,0.0,0.858696,0.392857,2.0,6.0,8.0,2.0,1.7143,true
1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,false
5.0,3.0,0.0,5.0,13.0,0.0,1.0,5.0,1.0,0.75,59.0,0.5,0.0,0.921569,0.466667,2.0,6.0,10.4,1.0,0.8,true
2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,false
10.0,1.0,0.0,2.0,10.0,45.0,1.0,1.0,10.0,2.0,10.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,true
38.0,2.0,2.0,13.0,98.0,421.0,10.0,4.0,24.0,0.817568,1100.0,0.75,1.0,0.556962,0.174174,1.0,17.0,27.842105,11.0,2.6053,true
2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,true
5.0,4.0,0.0,3.0,8.0,10.0,0.0,3.0,5.0,2.0,28.0,0.0,0.0,0.953488,0.6,1.0,4.0,4.6,1.0,0.8,true
2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,false
10.0,1.0,0.0,0.0,10.0,45.0,0.0,0.0,10.0,1.111111,13.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,1.0,false
6.0,1.0,0.0,0.0,36.0,15.0,0.0,0.0,0.0,0.933333,304.0,0.333333,0.0,0.0,0.333333,0.0,0.0,49.166667,1.0,0.8333,true
4.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,false
8.0,1.0,0.0,1.0,14.0,0.0,1.0,0.0,5.0,0.142857,574.0,0.0,0.0,0.0,0.520833,0.0,0.0,70.375,8.0,5.625,true
13.0,4.0,0.0,3.0,16.0,78.0,0.0,3.0,13.0,2.0,72.0,0.0,0.0,0.87234,0.538462,1.0,7.0,4.538462,1.0,0.9231,true
6.0,1.0,0.0,0.0,6.0,15.0,0.0,0.0,6.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,false
36.0,4.0,0.0,6.0,58.0,630.0,1.0,6.0,35.0,1.0,471.0,1.0,2.0,0.728682,0.214286,0.0,0.0,12.027778,7.0,2.0,true
24.0,3.0,1.0,17.0,122.0,0.0,1.0,16.0,21.0,0.856072,1567.0,0.931034,7.0,0.651515,0.25,3.0,10.0,63.083333,4.0,1.0833,true
2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,true
6.0,3.0,1.0,4.0,21.0,3.0,3.0,2.0,4.0,0.96,255.0,0.4,0.0,0.9375,0.611111,3.0,3.0,40.666667,3.0,1.3333,true
11.0,1.0,0.0,5.0,37.0,0.0,0.0,5.0,11.0,0.716667,332.0,1.0,3.0,0.0,0.318182,0.0,0.0,28.636364,1.0,0.9091,true
5.0,4.0,0.0,3.0,8.0,10.0,0.0,3.0,5.0,2.0,28.0,0.0,0.0,0.953488,0.6,1.0,4.0,4.6,1.0,0.8,true
