wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
8.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,8.0,0.428571,98.0,1.0,0.0,0.833333,0.45,0.0,0.0,10.75,1.0,0.5,true
21.0,1.0,0.0,6.0,35.0,68.0,1.0,5.0,12.0,0.677273,1458.0,0.727273,4.0,0.0,0.271429,0.0,0.0,67.904762,24.0,4.7619,false
1.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,false
56.0,2.0,2.0,20.0,207.0,778.0,4.0,17.0,37.0,0.856643,4705.0,0.961538,6.0,0.704918,0.183471,2.0,14.0,82.553571,14.0,1.7679,true
5.0,2.0,0.0,3.0,8.0,10.0,1.0,3.0,5.0,1.25,25.0,0.0,0.0,0.93617,0.466667,1.0,4.0,3.8,1.0,0.6,false
4.0,1.0,0.0,13.0,4.0,6.0,9.0,4.0,4.0,1.333333,19.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,1.0,true
9.0,2.0,0.0,7.0,23.0,0.0,3.0,4.0,2.0,0.375,130.0,1.0,0.0,0.533333,0.416667,1.0,2.0,13.222222,2.0,0.8889,false
10.0,1.0,0.0,6.0,19.0,0.0,5.0,1.0,1.0,0.066667,471.0,0.0,0.0,0.0,0.566667,0.0,0.0,45.6,7.0,2.8,false
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,true
27.0,1.0,0.0,1.0,27.0,351.0,0.0,1.0,27.0,1.038462,213.0,0.0,0.0,0.0,0.277778,0.0,0.0,0.0,1.0,1.0,false
7.0,1.0,0.0,7.0,8.0,21.0,1.0,6.0,7.0,2.0,16.0,0.0,0.0,0.0,0.265306,0.0,0.0,1.285714,1.0,0.8571,true
8.0,1.0,0.0,6.0,17.0,4.0,3.0,3.0,8.0,0.653061,184.0,1.0,2.0,0.0,0.303571,0.0,0.0,21.125,2.0,1.5,false
14.0,1.0,0.0,12.0,51.0,0.0,5.0,8.0,8.0,0.557692,756.0,0.875,3.0,0.0,0.241071,0.0,0.0,52.428571,16.0,3.3571,true
11.0,2.0,2.0,6.0,26.0,25.0,3.0,4.0,10.0,1.05,223.0,0.5,1.0,0.814815,0.477273,1.0,1.0,19.090909,3.0,1.3636,true
4.0,3.0,0.0,6.0,9.0,0.0,1.0,5.0,0.0,0.380952,583.0,1.0,0.0,0.926829,0.40625,1.0,3.0,143.0,1.0,0.75,false
41.0,1.0,0.0,53.0,61.0,202.0,50.0,4.0,34.0,0.871875,2955.0,0.9375,2.0,0.0,0.3375,0.0,0.0,70.292683,9.0,3.6098,false
4.0,1.0,0.0,12.0,8.0,6.0,5.0,7.0,4.0,1.333333,39.0,1.0,0.0,0.0,0.59375,0.0,0.0,8.25,1.0,0.75,false
11.0,1.0,1.0,1.0,18.0,15.0,1.0,0.0,11.0,0.5,102.0,1.0,0.0,0.0,0.431818,0.0,0.0,8.090909,1.0,0.9091,false
11.0,1.0,0.0,8.0,32.0,29.0,1.0,7.0,7.0,0.638462,595.0,0.153846,2.0,0.0,0.25,0.0,0.0,51.909091,14.0,2.0909,false
48.0,2.0,1.0,5.0,98.0,668.0,1.0,4.0,37.0,0.904255,1044.0,1.0,5.0,0.737143,0.145663,2.0,10.0,20.583333,3.0,1.0417,true
4.0,3.0,0.0,6.0,28.0,0.0,1.0,6.0,1.0,0.666667,179.0,0.5,0.0,0.947368,0.5,2.0,13.0,43.25,8.0,2.5,true
47.0,1.0,11.0,29.0,87.0,781.0,20.0,14.0,34.0,0.910079,1643.0,0.818182,6.0,0.0,0.12709,0.0,0.0,33.489362,31.0,2.766,true
3.0,5.0,0.0,4.0,6.0,0.0,1.0,4.0,1.0,0.75,44.0,0.5,0.0,0.969231,0.555556,3.0,22.0,13.0,2.0,1.0,false
1.0,1.0,0.0,7.0,2.0,0.0,7.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,false
7.0,2.0,1.0,5.0,10.0,9.0,3.0,3.0,7.0,0.944444,76.0,0.666667,0.0,0.88,0.571429,1.0,3.0,9.428571,3.0,1.7143,false
9.0,1.0,5.0,8.0,11.0,0.0,5.0,3.0,5.0,0.638889,161.0,1.0,2.0,0.0,0.466667,0.0,0.0,15.888889,2.0,0.8889,true
2.0,3.0,0.0,8.0,4.0,1.0,8.0,0.0,2.0,2.0,9.0,0.0,0.0,1.0,0.75,0.0,0.0,3.5,0.0,0.0,false
20.0,1.0,0.0,7.0,31.0,18.0,5.0,3.0,18.0,0.811146,889.0,0.764706,2.0,0.0,0.28125,0.0,0.0,42.6,5.0,1.95,false
19.0,1.0,0.0,9.0,34.0,43.0,4.0,5.0,13.0,0.688889,549.0,0.7,4.0,0.0,0.277778,0.0,0.0,27.368421,11.0,2.6316,false
12.0,1.0,0.0,4.0,12.0,66.0,3.0,1.0,12.0,2.0,12.0,0.0,0.0,0.0,0.541667,0.0,0.0,0.0,1.0,1.0,false
2.0,2.0,0.0,8.0,5.0,1.0,1.0,8.0,1.0,2.0,145.0,0.0,0.0,0.75,0.571429,0.0,0.0,71.5,1.0,0.5,false
10.0,1.0,1.0,5.0,11.0,27.0,3.0,2.0,10.0,0.888889,79.0,0.0,2.0,0.0,0.4,0.0,0.0,6.0,1.0,0.9,true
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,true
